date,cycles,causing_position,causing_episode_id,causing_duration_hours,causing_lock_hours,causing_censored,classification
2026-01-02,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-03,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-04,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-05,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-06,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-07,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-08,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-09,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-10,0,cycle_005958,cycle_005958,242.4407995694444444444444444,218.4407995694444444444444444,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-13,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-14,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-15,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-16,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-17,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-18,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-19,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-20,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-21,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-22,0,cycle_021040,cycle_021040,263.2337814572222222222222222,239.2337814572222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
2026-01-26,0,cycle_067324,cycle_067324,66.58291367472222222222222222,42.58291367472222222222222222,False,RETROSPECTIVE_DIAGNOSTIC_ONLY
